"Defores"	"Elev"	"Pendiente"	"Dist.rio"	"Dist.ciudad"	"Dist.pueblo"	"Dist.carP"	"Dist.carS"	"Dist.agri"	"Insolac"
0	1209	26.7	810.6	10627.7	1120.9	12021.2	1758	3833.1	2713.8
0	1050.9	33	429.5	5961.8	5233.5	7175.3	1295.2	2478.6	2881.5
1	751.7	28.6	308.9	4335	3877.4	5264.5	603.7	1391.7	4197.4
0	150	11	0	46170.5	666.1	7322.6	402.5	42.4	3797.9
0	178.7	35.3	42.4	45825.4	595.5	6337.7	429.5	84.9	2332.7
0	270.7	19.3	1025.3	36239.5	3122.3	4931.1	1355.7	295.5	3144.8
0	369.7	23.2	566	35980.2	4141.7	5949.2	1597.1	823.8	2853.5
0	453.9	9.1	210	35555.1	3476.5	7891.8	1827.8	1710.3	4225.1
0	498.2	3.2	1848.4	35114.4	3344.6	10578.1	1850.5	1800.5	3915.6
0	466	19.2	1835.6	34960.4	2850	12343.3	1913.7	1544.3	3021.9
1	393.7	23.5	1848.6	29475.2	1614.7	23646.9	1355.3	551.5	2889.8
1	583.4	12.7	1448.1	27513.5	3088.7	23943.7	1364.6	1326.1	3814.6
0	377.9	11.1	400.2	22564.3	1994.7	22005.2	60	123.7	3476.8
1	621.3	15.4	732.4	20587	3982.2	21161.7	658.6	458.9	3693.8
